WBS,Status,Name,Estimated time,Role,Phase,DIY Difficulty (AI),Recommended AI Tool,Tools,Description
0.01,,CMS platform decision,1,You (Rod),Phase 0 — Critical Decisions & Early Setup (Week 1),Easy with AI,Cursor (compare & decide),TinaCMS/Decap docs,"Compare UX, auth, media, Git flow; make final decision; document rationale"
0.02,done,Booking system selection,0.5,You (Rod),Phase 0 — Critical Decisions & Early Setup (Week 1),Easy with AI,Cursor (requirements matrix),Calendly/Cal.com/Acuity,"Evaluate HubSpot integration, timezone handling, payment support"
0.03,,Media storage strategy,0.5,You (Rod) + Developer,Phase 0 — Critical Decisions & Early Setup (Week 1),Moderate with AI,Cursor,Cloudinary/Vercel Blob/S3,"Decide provider based on cost, CDN, optimization features"
0.04,,Analytics & tracking architecture,1,Developer,Phase 0 — Critical Decisions & Early Setup (Week 1),Moderate with AI,Cursor (implementation guide),"GA4, GTM, Meta Pixel","Plan event taxonomy, conversion points, privacy compliance"
0.05,,Start testimonial collection,0.5,You (Rod),Phase 0 — Critical Decisions & Early Setup (Week 1),Easy,Email/Forms,"Email, Google Forms","Create outreach template, begin collecting client testimonials"
0.06,prog,Google Business Profile setup,0.5,You (Rod),Phase 0 — Critical Decisions & Early Setup (Week 1),Easy,—,Google Business Profile,"Claim/verify listing, add photos, NAP, service areas"
1.01,yes,Confirm tech stack and versions,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Moderate with AI,Cursor (inspect repo & draft README),"Node.js, npm/pnpm, Git/GitHub, Next.js","Document Node/PNPM/NPM, Next.js, key libs in README.md"
1.02,done,Clean repo and dependencies,1,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Developer recommended,Windsurf (Autofix),"npm/yarn, ESLint, Prettier","Remove unused packages, fix scripts, audit, update lockfile"
1.03,done,Set up .env.local & example,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Moderate with AI,Cursor (env setup),"Vercel, dotenv",Create .env.local; commit .env.example; doc how to obtain values
1.04,,Email DNS setup (moved up),1,You (Rod),"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Moderate with AI,Cursor (DNS guide),"DNS provider, DMARC monitor",Configure SPF/DKIM/DMARC early for email testing
1.05,done,Configure Vercel project,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Easy with AI,Cursor (checklist),Vercel Dashboard,"Build settings, env vars, preview vs prod, auto-deploy"
1.06,Done,Domain/DNS verification,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Moderate with AI,Cursor (DNS prompts),"DNS provider, Vercel","Apex & www to Vercel, SSL, canonical domain + redirects"
1.07,,Branch protection & PR checks,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Easy with AI,Cursor (PR template),GitHub Branch Protection,Require review + CI before merge
1.08,Done,Security headers,1,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Developer recommended,—,Next.js config/middleware,"CSP, HSTS, Referrer-Policy, X-Content-Type-Options"
1.09,Done,Cookie consent & GDPR,2,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Moderate with AI,Cursor (compliance guide),CookieYes/Osano/Custom,"Implement consent banner, preference center, data retention"
1.1,Done,Rate-limit API routes,1,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Developer recommended,—,Upstash Redis,Add rate limiting for forms/api to reduce abuse
1.11,Done,Error monitoring setup,1,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Moderate with AI,Cursor (Sentry setup),"Sentry, Vercel Integration","Install Sentry, configure source maps, test error capture"
1.12,Done,Performance monitoring,1,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Moderate with AI,Cursor (Web Vitals),"Vercel Analytics, Lighthouse CI","Set performance budget, automated testing, alerting"
1.13,done,Testing: lint & typecheck,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Moderate with AI,Windsurf (Autofix),"ESLint, TypeScript",ESLint + TS strict; CI fails on issues
1.14,done,Testing: unit/integration,2.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Developer recommended,—,"Vitest/Jest, RTL",Cover key components and CMS utilities
1.15,done,Visual regression (optional),1.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Developer recommended,—,Playwright,Screenshot tests for critical pages
1.16,,Analytics implementation,2,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Moderate with AI,Cursor (GA4 setup),"GA4, GTM, Google Ads","Install GA4, configure events, test conversions, add GTM"
1.17,Done,Logging for API routes,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Moderate with AI,Cursor (logger scaffold),"pino, Vercel Logs",Structured logs for forms/booking; redact PII
1.18,Done,404 & error pages,1,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Easy with AI,Cursor (design pages),"Next.js, React","Custom 404, 500 pages with helpful navigation"
1.19,,Staging environment,0.5,Developer,"Objective A — Stable, Maintainable Infrastructure & Dev Workflow",Easy with AI,Cursor (checklist),Vercel Preview,Staging mirrors prod; password-protected
